Sample_Name,salinity,VINDTA_T,Measured_T,corr_AT,corr_DIC,Salinity_in,t_in,P_in,Total_P_in,Total_Si_in,TA_in,TCO2_in,pH_in,fCO2_in,pCO2_in,HCO3_in,CO3_in,CO2_in,B_Alk_in,OH_in,P_Alk_in,Si_Alk_in,Revelle_in,WCa_in,WAr_in,xCO2_in,t_out,P_out,pH_out,fCO2_out,pCO2_out,HCO3_out,CO3_out,CO2_out,B_Alk_out,OH_out,P_Alk_out,Si_Alk_out,Revelle_out,WCa_out,WAr_out,xCO2_out
CS_B6_CASE_05Oct16,28.261,24.976999,19.06,2025.0296181489293,1845.105934313621,28.26099967956543,24.976999282836914,10.015000343322754,0,0,2025.0296630859375,1845.10595703125,7.904865264892578,545.3018798828125,547.0472412109375,1691.6404961203193,137.42152042063023,16.043883888239815,54.31896066060909,4.239837034732074,0,0,11.708179373151442,3.4826370037774907,2.2537367635512444,564.3884845220044,19.059999465942383,10.005000114440918,7.996458587560642,428.41993321987644,429.89510911047756,1695.4972949827034,134.8224977028698,14.786107743616034,56.82828085852215,3.0693317332039673,0,0,11.86823601493013,3.3694345111932194,2.146376273590029,439.3035414573935
CS_B6_CA_05Oct16,28.460999999999995,25.041,19.23,1945.4090967355423,2006.582257800725,28.461000442504883,25.041000366210938,10.015000343322754,0,0,1945.4090576171875,2006.582275390625,7.15312385559082,3417.175048828125,3428.103515625,1879.0619646315567,27.248577536454498,100.27167512298625,11.163374330244668,0.7583928409994972,0,0,14.641977757586952,0.6896278861847199,0.44670116139368293,3537.1899280354637,19.229999542236328,10.005000114440918,7.218162585850859,2856.4162515407306,2866.2308607246296,1883.32352695946,25.25604524245241,98.00264508908504,11.113615484158945,0.5215874661251961,0,0,15.114813002003636,0.630566478137823,0.4021414286144076,2929.6357809073497
CS_B6_CON_05Oct16,27.427666666666664,25,19.02,1866.8503158265987,1698.647169388818,27.42766761779785,25,10.015000343322754,0,0,1866.850341796875,1698.647216796875,7.911708831787109,496.8320007324219,498.4217834472656,1558.1630336612948,125.81144851900653,14.672677902753977,52.837916582394726,4.238967548027208,0,0,11.5836338525316,3.208811598897044,2.069893612056387,514.2513852399399,19.020000457763672,10.005000114440918,8.004083786421639,389.4191449032136,390.7607003077578,1561.7635719886239,123.36700655343158,13.516581541000127,55.30297731790805,3.0598410377021414,0,0,11.741786697953982,3.0997542076400175,1.9681185989805576,399.2948247225828
CS_B6_SE_05Oct16,27.661000000000005,25.07,18.9,2103.9089244931765,2162.708763894721,27.660999298095703,25.06999969482422,10.015000343322754,0,0,2103.908935546875,2162.708740234375,7.183152198791504,3460.77734375,3471.841552734375,2029.9078398295633,30.90190366974468,101.89892453894107,11.46334635529903,0.8008960383095709,0,0,15.197772498073487,0.7869192598205719,0.5081924379270072,3582.566538141563,18.899999618530273,10.005000114440918,7.253049962660092,2854.0691527774557,2863.916235330327,2034.8710474016075,28.560938330196592,99.27668230644498,11.433520078717093,0.5394075749194708,0,0,15.74451975743072,0.7163638134234351,0.4551216501520723,2925.9783674354912
CS_B6_J1_05Oct16,29.090333333333334,25.087999,18.920577811739342,2147.51040011432,2187.113548856539,29.090333938598633,25.08799934387207,10.015000343322754,0,0,2147.510498046875,2187.113525390625,7.232842922210693,3108.112060546875,3118.046875,2059.762151284306,36.555381492025795,90.7959776684287,13.770116032833032,0.9271346286755976,0,0,15.824419841274537,0.9208631577596361,0.5979308632251725,3217.5186956379034,18.920578002929688,10.005000114440918,7.30523598024722,2550.153917985693,2558.9501704963177,2065.164774581635,33.9836169594221,87.96511890370347,13.801816141361114,0.627093883920146,0,0,16.45278006218504,0.8444674500744247,0.5393467411116257,2614.432365039446
CS_B6_J2_05Oct16,28.69033333333334,25.072001,19.173763896639667,1866.609921750121,1740.9548076867482,28.690332412719727,25.07200050354004,10.015000343322754,0,0,1866.60986328125,1740.954833984375,7.777669906616211,698.9237670898438,701.158203125,1620.7544839828518,99.73212796609593,20.46820439245245,43.18917055997231,3.219035418572849,0,0,13.055729674365535,2.519910322839189,1.633784789950799,723.509561781046,19.173763275146484,10.005000114440918,7.8664303639339295,553.0133530041402,554.9148352065491,1624.6702539377668,97.30429755678128,18.98026484685217,45.025850612338836,2.3190774240581735,0,0,13.304903088260248,2.4254549102792238,1.5478881700826104,567.1448446472117
CS_B6_J3_13Oct16,28.890333333333334,25.229,19.0525,2081.027955092475,1927.5262451708104,28.89033317565918,25.229000091552734,10.015000343322754,0,0,2081.028076171875,1927.5262451171875,7.820342540740967,697.353759765625,699.5789184570312,1784.670077378852,122.53645361299043,20.319671060989307,47.684801554005645,3.61584621573261,0,0,12.712364994566178,3.0926965944708744,2.0075253333129,722.0936065358085,19.052499771118164,10.005000114440918,7.914572398296652,544.1078689631097,545.9815681179684,1789.0497204231447,119.7578838979338,18.71859773175323,49.90300978190421,2.5721038539162415,0,0,12.940382283969312,2.9805327516364963,1.9029083578265231,557.9207099330141
CS_B6_J4_13Oct16,28.923666666666666,25.177999,19.0525,2065.1695635541914,1921.3106212022303,28.92366600036621,25.17799949645996,10.015000343322754,0,0,2065.169677734375,1921.3106689453125,7.79806661605835,733.3634033203125,735.7048950195312,1783.6972913645448,116.22043464978694,21.39294559083812,45.625628601574,3.422095208626353,0,0,13.001881999858094,2.932134657043434,1.903247384819547,759.3077480442583,19.052499771118164,10.005000114440918,7.891040124306568,574.0021886871665,575.9788324322383,1788.08779150459,113.47943142545006,19.74344867512962,47.69803774082579,2.4380409770158082,0,0,13.248869975458353,2.8236534613178508,1.8029594733008947,588.5736999944653
CS_B6_J5_13Oct16,29.657000000000007,25.252001,19.245843839457308,1978.4295749443463,2035.0896764332206,29.656999588012695,25.25200080871582,10.015000343322754,0,0,1978.429443359375,2035.0897216796875,7.159393787384033,3401.377197265625,3412.227294921875,1907.242576192241,29.18825526421251,98.65893701288043,12.077596947624988,0.8035874537059029,0,0,14.746888774181079,0.7324048768909859,0.47672209296740153,3522.1517839692783,19.2458438873291,10.005000114440918,7.227269905262335,2823.6492738691272,2833.3493760854826,1911.8551321585421,27.02750966347072,96.20712664732052,12.03370772779511,0.5460879935661413,0,0,15.25724797886676,0.6694757395183879,0.4287378010292343,2896.0484881296497
CS_B6_J6_13Oct16,28.956999999999997,25.034,19.032051088108467,1884.361846628758,1768.3902053419572,28.957000732421875,25.034000396728516,10.015000343322754,0,0,1884.36181640625,1768.3902587890625,7.744312286376953,767.7522583007812,770.2078247070312,1651.2907429216125,94.62507912952927,22.47447676989047,40.85159994606066,2.9877457066183983,0,0,13.483971560423614,2.385774624806195,1.5481425367446724,794.6993966586181,19.03205108642578,10.005000114440918,7.833973982294445,605.8575217239623,607.9443964758757,1655.4148447695895,92.12798183936144,20.847472212081122,42.570803492835914,2.1351814971909597,0,0,13.771246628188235,2.2917858858587064,1.4634480388391877,621.220680689108
CS_B6_J7_13Oct16,29.357000000000003,24.995001,19.169453883278067,2144.2309630879768,2220.3433866050095,29.35700035095215,24.9950008392334,10.015000343322754,0,0,2144.23095703125,2220.343505859375,7.126699924468994,3990.507568359375,4003.277099609375,2074.7215414467373,28.93434604821791,116.68767807337292,10.992883215553501,0.7241737087737663,0,0,14.327434586727232,0.7272223290176154,0.47250981592773683,4130.242294950136,19.16945457458496,10.005000114440918,7.191202904525181,3339.858544467737,3351.3429389452003,2079.352223975913,26.76341488404964,114.22792670836472,10.921486355043536,0.49613101981016094,0,0,14.77156026033122,0.6641720617988245,0.4248388715848011,3425.1570028709693
CS_B6_J8_13Oct16,29.757,25.031,18.912087888552772,1977.9383858259039,2038.4133784261126,29.756999969482422,25.0310001373291,10.015000343322754,0,0,1977.9384765625,2038.4134521484375,7.149540901184082,3476.967041015625,3488.08837890625,1908.660979193624,28.385675159952903,101.3667715539159,11.806519997402374,0.7720037104039323,0,0,14.585888147212842,0.7113181465999048,0.46285253820262096,3598.9346744943196,18.91208839416504,10.005000114440918,7.218373204950029,2876.8418492888663,2886.766001144027,1913.3016171328964,26.213991667150065,98.89781710744629,11.75088884544283,0.5196655264577897,0,0,15.088672282363486,0.6485227176419597,0.41511304722250797,2949.298696285792
CS_B6_J9_13Oct16,28.956999999999997,25.08,19.0525,2061.540778638351,1946.3438208042828,28.957000732421875,25.079999923706055,10.015000343322754,0,0,2061.540771484375,1946.3438720703125,7.722168922424316,891.1068115234375,893.955322265625,1820.9530598025956,99.33598102950802,26.054883086799396,39.084333579513924,2.85073528288601,0,0,14.064442045902629,2.504858099255141,1.625633538352377,922.4624200765126,19.052499771118164,10.005000114440918,7.811889885291226,703.0620105445661,705.4830868974611,1825.528330797274,96.63737694968866,24.178216171940292,40.72019239928721,2.033177321664899,0,0,14.393316588239797,2.40405169363673,1.5352136331704769,720.9095242851228
CS_B6_J10_13Oct16,29.757,25.028,19.157541812855467,1983.8627280503829,2044.7394577479308,29.756999969482422,25.027999877929688,10.015000343322754,0,0,1983.862548828125,2044.7393798828125,7.14902925491333,3491.66796875,3502.836669921875,1914.5005745720782,28.435723180102656,101.80313674338714,11.792169269245763,0.7708911804073741,0,0,14.58179244859782,0.7125669023671396,0.46366104041093664,3614.131005202393,19.157541275024414,10.005000114440918,7.214999427626319,2912.447489231581,2922.4636845072464,1918.9664024343676,26.34621476534872,99.42681729585199,11.738398177843912,0.5275523863882696,0,0,15.06328381330739,0.6520648401762286,0.4176322629411752,2986.768439708491
CS_B6_J11_13Oct16,28.956999999999997,24.982,19.0525,1911.9686799387675,1770.6595607812126,28.957000732421875,24.98200035095215,10.015000343322754,0,0,1911.9686279296875,1770.6595458984375,7.813230037689209,651.0765991210938,653.160400390625,1641.5516183552277,110.02364618138057,19.08431815279615,46.89978729163564,3.4855778700292337,0,0,12.594897018912153,2.773633066675395,1.7995547168002592,673.8636715910542,19.052499771118164,10.005000114440918,7.903303483195503,513.4360150568535,515.2040920915038,1645.4885795903838,107.51400161647922,17.657001482541435,48.95522528138028,2.5095095618052703,0,0,12.812541373625919,2.6746298982258514,1.708003323851221,526.4697961404397
